radius 0.2
fog 0.1 0.2 0.3
player -1.94531 -7.5
goal 12.5391 7.32787
nrOfObjects 141
wall -3.1875 -8.70492 green
wall -3.32813 -7.77049 green
wall -3.32813 -6.22131 green
wall -3.39844 -5.38525 green
wall -3.35156 -4.08197 green
wall -3.32813 -3.22131 green
wall -3.32813 -2.2377 green
wall -3.375 -1.45082 green
wall -3.375 -0.786885 green
wall -3.375 0.270492 green
wall -3.35156 1.18033 green
wall -3.39844 2.7541 green
wall -3.5625 3.93443 green
wall -3.25781 5.58197 green
wall -3.28125 6.17213 green
wall -3.30469 7.03279 green
wall -3.30469 7.64754 green
wall -3.32813 8.43443 green
wall -2.76563 8.72951 green
wall -1.03125 8.7541 green
wall 0.703125 8.92623 green
wall -0.164063 8.97541 green
wall 2.20313 8.82787 green
wall 1.54688 9.02459 green
wall 3.375 8.63115 green
wall 3.02344 8.97541 green
wall 4.10156 8.90164 green
wall 5.53125 8.90164 green
wall 4.73438 9.07377 green
wall 6.23438 8.92623 green
wall 7.14844 9.07377 green
wall 7.82813 9.07377 green
wall 8.29688 9.12295 green
wall 8.8125 9.07377 green
wall 9.60938 8.7541 green
wall 10.5469 8.85246 green
wall 11.6953 8.95082 green
wall 12.1172 8.95082 green
wall 13.1016 8.95082 green
wall 13.5938 8.97541 green
wall 13.9688 8.92623 green
wall 14.3672 9 green
wall 14.7422 8.95082 green
wall 14.7422 8.28689 green
wall 14.6016 7.57377 green
wall 14.4844 6.61475 green
wall 14.3672 5.90164 green
wall 14.3906 4.57377 green
wall 14.3906 3.98361 green
wall 14.4375 3.2459 green
wall 14.4141 2.40984 green
wall 14.4375 1.18033 green
wall 14.3672 0.368852 green
wall 14.3906 -0.418033 green
wall 14.4609 -1.0082 green
wall 14.3906 -1.96721 green
wall 14.4141 -2.58197 green
wall 14.3438 -3.22131 green
wall 14.25 -4.20492 green
wall 14.3203 -4.91803 green
wall 13.8984 -5.90164 green
wall 14.0391 -7.05738 green
wall 14.0156 -8.40984 green
wall 12.4922 -9.04918 green
wall 10.7578 -9 green
wall 9.91406 -9.14754 green
wall 9.39844 -9.17213 green
wall 8.48438 -9.19672 green
wall 7.26563 -9.31967 green
wall 6.02344 -9.02459 green
wall 5.22656 -9.17213 green
wall 4.05469 -9.22131 green
wall 3.28125 -9.22131 green
wall 2.36719 -9.09836 green
wall 1.35938 -9.04918 green
wall 0.445313 -9 green
wall -1.52344 -9.07377 green
wall -0.84375 -8.85246 green
wall -2.15625 -9 green
wall -2.32031 -5.90164 yellow
wall -1.26563 -5.87705 yellow
wall 0.375 -5.87705 yellow
wall 1.03125 -5.85246 yellow
wall 1.45313 -5.82787 yellow
wall 1.24219 -4.57377 yellow
wall 1.24219 -3.59016 yellow
wall 1.28906 -2.95082 yellow
wall -2.27344 -0.0491803 yellow
wall -1.3125 0.0491803 yellow
wall -0.351563 0.319672 yellow
wall 0.515625 0.393443 yellow
wall 1.26563 0.442623 yellow
wall 1.82813 0.418033 yellow
wall 4.40625 -7.9918 yellow
wall 4.28906 -6.61475 yellow
wall 4.05469 -5.28689 yellow
wall 5.03906 -5.28689 yellow
wall 5.95313 -5.16393 yellow
wall 6.65625 -5.16393 yellow
wall 7.35938 -5.11475 yellow
wall 7.82813 -5.06557 yellow
wall 8.67188 -5.01639 yellow
wall 9.30469 -4.9918 yellow
wall 10.1484 -4.91803 yellow
wall 10.7578 -4.9918 yellow
wall 12.8672 -1.69672 yellow
wall 10.7578 -1.7459 yellow
wall 9.42188 -1.52459 yellow
wall 8.53125 -1.52459 yellow
wall 7.05469 -1.30328 yellow
wall 1.66406 1.54918 yellow
wall 1.64063 2.31148 yellow
wall 1.54688 2.90164 yellow
wall -2.29688 5.18852 yellow
wall -1.33594 5.36066 yellow
wall -0.09375 5.5082 yellow
wall 0.796875 5.63115 yellow
wall 1.52344 5.82787 yellow
wall 3.86719 7.7459 yellow
wall 4.14844 6.7377 yellow
wall 4.05469 5.92623 yellow
wall 4.19531 4.94262 yellow
wall 4.24219 3.95902 yellow
wall 4.35938 2.92623 yellow
wall 5.08594 5.28689 yellow
wall 5.92969 5.33607 blue
wall 6.82031 5.38525 blue
wall 7.73438 5.38525 blue
wall 8.34375 5.43443 blue
wall 8.4375 6.34426 blue
wall 8.27344 7.47541 blue
wall 8.25 8.11475 blue
wall 11.3906 7.91803 blue
wall 11.3203 6.71311 blue
wall 11.2031 5.85246 blue
wall 11.1094 4.91803 blue
wall 11.0625 3.93443 blue
wall 11.0156 2.53279 blue
wall 10.6641 1.35246 blue
wall 9.1875 1.59836 blue
wall 7.71094 1.45082 blue
